,daft_id,date_entered,views,type,rent,num_bedroom,num_bathroom,available_from,furnished,lease,ber_rating,address,distance_from_city_centre,latitude,longitude,region,url,input_date,property_id
2,25328430,2023-07-04,835,Apartment,3683.333333,2,1, Immediately, Yes, No Minimum,A1,"Cows Lane, Temple Bar, Dublin City Centre",0.172659693,53.344265,-6.268956,,https://www.daft.ie/for-rent/apartment-cows-lane-temple-bar-dublin-city-centre/5328430,2023-07-06,7964f287459a2d66953a5225e739c99c6552c30c50b915bc5d465f94f78befc5
3,25315011,2023-06-29,2758,House,3650.0,3,3, Immediately, Yes, Minimum 6 Months,A2,"1 Mercer Green, Dublin 18, Carrickmines, Dublin 18",13.10770387,53.246991,-6.159338,Dublin 18,https://www.daft.ie/for-rent/house-1-mercer-green-dublin-18-carrickmines-dublin-18/5315011,2023-07-06,d200ee2ac3f16be3e0745c138e8ba46e18ce8760efc7bec68454fe9447a4a58c
7,216745168,2023-07-04,3065,Apartment,2100.0,1,1, Immediately, Yes, Minimum 1 Year,C3,"Apartment 61, The Weavers, Dublin 8",0.991538638,53.3412,-6.280352,Dublin 8,https://www.daft.ie/for-rent/apartment-apartment-61-the-weavers-dublin-8/5314829,2023-07-06,f597ce5e4feb9b2dfca8adfc5798d81fb7dbfffd3cec7f9cd63cbbec15d83424
8,25309047,2023-07-05,17074,Apartment,1800.0,1,1, Immediately, Yes, Minimum 1 Year,E1,"40 Castlewood Avenue, Rathmines, Dublin 6",2.559519522,53.3224676,-6.2652924,Dublin 6,https://www.daft.ie/for-rent/apartment-40-castlewood-avenue-rathmines-dublin-6/5309047,2023-07-06,25de852d6ff5c9c5f9663408730ad7ed82bdec47ab722be5cba8d2b2862003db
10,216893403,2023-07-06,776,Apartment,2850.0,2,2," Aug 21st, 2023", Yes, Minimum 1 Year,B2,"Apartment 187, The Links, Elmpark, Merrion, Dublin 4",5.348296013,53.313324,-6.207533,Dublin 4,https://www.daft.ie/for-rent/apartment-apartment-187-the-links-elmpark-merrion-dublin-4/5330794,2023-07-06,ebf73d1287893419b8b7dd4b9f5d42caa0b016e86508d171393a119b7a41df60
11,25331047,2023-07-06,1252,Apartment,1000.0,1,1," Jul 10th, 2023", Yes, Minimum 1 Year,D1,"115 Tyrconnell Road, Dublin 8, Inchicore, Dublin 8",3.91265838,53.337128,-6.324334,Dublin 8,https://www.daft.ie/for-rent/flat-115-tyrconnell-road-dublin-8-inchicore-dublin-8/5331047,2023-07-06,81656dfa29b7d67f8e4b6427bcd50919bf93fb9d8f0899bdadf8daaf77578d78
12,216897134,2023-07-06,375,Apartment,2995.0,3,2, Immediately, Yes, Minimum 1 Year,D1,"77 Spencer House, Custom House Square, Dublin 1",1.629591199,53.349955,-6.24398,Dublin 1,https://www.daft.ie/for-rent/apartment-77-spencer-house-custom-house-square-dublin-1/5331099,2023-07-06,f99f2874de0f36069cc56e2a24ffc47d5846fdf488bca176d26f72d289ac0ea7
13,216815697,2023-07-06,1610,Apartment,3267.0,3,2," Jul 25th, 2023", Yes, Minimum 1 Year,B3,"Apartment 98, Ash, Trimbleston, Clonskeagh, Dublin 14",5.679496518,53.298941,-6.232121,Dublin 14,https://www.daft.ie/for-rent/apartment-apartment-98-ash-trimbleston-clonskeagh-dublin-14/5322602,2023-07-06,2f4bd67fa95b42c0420ad29d5a1f0b47c9d9cdb0209960a9ba42102f015754ce
15,25317630,2023-07-04,1862,Apartment,2850.0,2,2, Immediately, Yes, Minimum 1 Year,D1,"71 Hybreasal House, South Circular Road, Hybreasal, Inchicore, Dublin 8",2.629825523,53.338827,-6.305163,Dublin 8,https://www.daft.ie/for-rent/apartment-71-hybreasal-house-south-circular-road-hybreasal-inchicore-dublin-8/5317630,2023-07-06,507a0bb21c7eb68bb87120d1f694eb7fbd9d1eac49415a1f289be95f2b2bdf63
16,25313011,2023-06-30,1312,Apartment,3495.0,2,2, Immediately, Yes, Minimum 1 Year,B3,"Hanover Riverside, Grand Canal Dock, Dublin 2",1.95675605,53.34566097,-6.237876582,Dublin 2,https://www.daft.ie/for-rent/apartment-hanover-riverside-grand-canal-dock-dublin-2/5313011,2023-07-06,7f8da8a3d90650d62b4c19eeddbf83b45a17df2465594f78070c638bac39fb1e
17,25321086,2023-06-30,825,Apartment,3000.0,2,1, Immediately, Yes, Minimum 1 Year,C1,"Apartment 11, Hanbury Hall, Hanbury Lane, Dublin 8, Christchurch, Dublin 8",0.886874095,53.342302,-6.279498,Dublin 8,https://www.daft.ie/for-rent/apartment-apartment-11-hanbury-hall-hanbury-lane-dublin-8-christchurch-dublin-8/5321086,2023-07-06,a3dc352f2d8564ddcce2dea5d9f1f2f5e0bfa640497ce03857ba9aad264636de
18,25303058,2023-07-05,33146,Apartment,1695.0,1,1," Jul 6th, 2023", Yes, Minimum 1 Year,C1,"1o Gandon Hall Gardner Street Dublin 1, Dublin 1",1.095880313,53.35221584,-6.255321419,Dublin 1,https://www.daft.ie/for-rent/apartment-1o-gandon-hall-gardner-street-dublin-1-dublin-1/5303058,2023-07-06,39381b6fa16aa05f6ae2c33bf0ae85c8b98940305e672551f9a29a8643843dca
19,25313650,2023-07-06,1638,Apartment,3100.0,2,2, Immediately, Yes, Minimum 1 Year,C1,"Apt. 6, 34 Ushers Quay, Dublin 8",0.833871796,53.3457812,-6.2797622,Dublin 8,https://www.daft.ie/for-rent/apartment-apt-6-34-ushers-quay-dublin-8/5313650,2023-07-06,9956ee54cb6424408b5de378c27bc3ec1712073134e50fefb1afd84b6667e698
20,216772991,2023-07-06,2461,Apartment,2200.0,2,1, Immediately, Yes, Minimum 1 Year,C1,"3 Marine Villas Apartments, Howth Road, Howth, Dublin 13",13.63719347,53.388373,-6.075379,Dublin 13,https://www.daft.ie/for-rent/apartment-3-marine-villas-apartments-howth-road-howth-dublin-13/5317876,2023-07-06,9655b7d422f9042c50cb9436fa13ebb539bd503802b51cae63a6a817a29d0605
21,216543671,2023-07-06,4535,House,4000.0,3,3, Immediately, Yes, Minimum 1 Year,A2,"41 Pleasants Street, Dublin 8",1.125532292,53.335358,-6.265839,Dublin 8,https://www.daft.ie/for-rent/house-41-pleasants-street-dublin-8/5294617,2023-07-06,d04d47bd2128d1579ecd1676f9942ae5f6484787da78b64ce1cbb2189c4ff1d4
22,216880504,2023-07-05,529,Apartment,2200.0,1,1, Immediately, Yes, Minimum 1 Year,D2,"Apartment 141, Block F, Bellevue, Dublin 8",2.898718294,53.346629,-6.310734,Dublin 8,https://www.daft.ie/for-rent/apartment-apartment-141-block-f-bellevue-dublin-8/5329650,2023-07-06,e86c7ebfb2ddf2ec6264092dd75dd2966a7a787f258d004c6e04c1066812bf33
23,25300921,2023-07-04,2127,Apartment,3000.0,3,1, Immediately, Yes, Minimum 9 Months,C1,"GATEWAY STUDENT VILLAGE Trinity Comprehensive Secondary School, Ballymun R, Santry, Dublin 9",5.265493912,53.392674,-6.262844,Dublin 9,https://www.daft.ie/for-rent/apartment-gateway-student-village-trinity-comprehensive-secondary-school-ballymun-r-santry-dublin-9/5300921,2023-07-06,3d8a14113f8b727a916b098ab98388fa13f08201228f99a0f5b2c53270645ccf
24,216699846,2023-07-06,2023,Apartment,2400.0,2,2, Immediately, Yes, Minimum 1 Year,C2,"51 The Crescent, Carrickmines Manor, Carrickmines, Dublin 18",12.36992464,53.248267,-6.177179,Dublin 18,https://www.daft.ie/for-rent/apartment-51-the-crescent-carrickmines-manor-carrickmines-dublin-18/5310572,2023-07-06,257f8cff086f59cde24ec726fe9024643e73cb36071cbe7eefaaeacd5332311a
25,216855327,2023-07-06,10203,Apartment,1450.0,2,1," Jul 16th, 2023", Yes, Minimum 1 Year,C3,"12 Lurgan Street, King Street North, Dublin 7",0.678486632,53.350781,-6.272154,Dublin 7,https://www.daft.ie/for-rent/apartment-12-lurgan-street-king-street-north-dublin-7/5327139,2023-07-06,0ceec760da0e187f76dc3f1301d73082827be3ff16b1b221f82f75edf5e034ae
27,25307378,2023-07-05,3295,Apartment,3100.0,2,2, Immediately, Yes, Minimum 6 Months,D1,"The Sweepstakes, Ballsbridge, Dublin 4",3.049030093,53.33112258,-6.22822505,Dublin 4,https://www.daft.ie/for-rent/apartment-the-sweepstakes-ballsbridge-dublin-4/5307378,2023-07-06,1c650684df6193928b658b2fcf138af4a3cf2fd6f9698cb1e8f4adf1e0950d30
28,216849016,2023-07-06,731,Apartment,2870.0,2,2, Immediately, Yes, Minimum 1 Year,A3,"Apartment 6, Brook House, Dun Laoghaire, Co. Dublin",10.82504926,53.290573,-6.133126,,https://www.daft.ie/for-rent/apartment-apartment-6-brook-house-dun-laoghaire-co-dublin/5326798,2023-07-06,84e4c974bb7091cd39bd18a3a521f47ffb8e3ff71cbfec1d44e06a1e9e4b9703
29,25330193,2023-07-06,1132,Apartment,1600.0,2,1," Aug 1st, 2023", Yes, Minimum 1 Year,BER Exempt,"Beaumont Area, Beaumont, Dublin 9",5.482685625,53.38750973,-6.224412017,Dublin 9,https://www.daft.ie/for-rent/apartment-beaumont-area-beaumont-dublin-9/5330193,2023-07-06,8aff8611d1f5edba420e9d74ae92038b1cc5247492ad09bffc2b401ae50b7f34
30,216886614,2023-07-06,1012,House,3750.0,3,2," Aug 1st, 2023", Yes, Minimum 1 Year,C1,"3 Fairways Park, Stillorgan Road, Foxrock, Dublin 18",9.609772053,53.276036,-6.181472,Dublin 18,https://www.daft.ie/for-rent/house-3-fairways-park-stillorgan-road-foxrock-dublin-18/5330177,2023-07-06,cf9e45c98c586d3c3ee4d2f0bfcd76b8a0af788be0fb1e870a3de5fdcfe32440
31,216390218,2023-07-06,4105,Apartment,2600.0,2,1, Immediately, Yes, Minimum 1 Year,D1,"82 Tritonville Road, Sandymount, Dublin 4",3.305172955,53.333941,-6.221502,Dublin 4,https://www.daft.ie/for-rent/apartment-82-tritonville-road-sandymount-dublin-4/5278817,2023-07-06,dc2e66ec0e04d0b4d85ab82f5431356af85612b7f649075a785d919800cfbb1f
32,216806009,2023-07-06,2164,House,4000.0,4,2," Jul 7th, 2023", Yes, Minimum 1 Year,D1,"74 Stillorgan Wood, Stillorgan, Co. Dublin",7.995449638,53.281606,-6.212201,,https://www.daft.ie/for-rent/house-74-stillorgan-wood-stillorgan-co-dublin/5321490,2023-07-06,4b73278c38814b329f1ac2657761914000a51cc90047d677f80826bf64e0aa72
33,216813967,2023-07-06,514,Apartment,2400.0,2,1," Aug 1st, 2023", Optional, Minimum 1 Year,BER Exempt,"Apt 7 Brooklawn House, Brooklawn, Mount Merrion Av, Blackrock, Co. Dublin",7.330889869,53.300303,-6.187122,,https://www.daft.ie/for-rent/apartment-apt-7-brooklawn-house-brooklawn-mount-merrion-av-blackrock-co-dublin/5322404,2023-07-06,91c2cb66462cf833044c2e29411be941f599e114e0b38a14d9801de440adc427
34,25316790,2023-07-05,2579,Apartment,2499.0,2,2, Immediately, Yes, Minimum 1 Year,B3,"Raheny, Dublin 5",7.265730369,53.3804065,-6.1750943,Dublin 5,https://www.daft.ie/for-rent/apartment-raheny-dublin-5/5316790,2023-07-06,f844f0eedd9052c3c524fb1dc8b14eb518e370dd082da9cc8c1dda16d48917ca
35,25315396,2023-07-01,1487,Apartment,3500.0,2,2, Immediately, Yes, Minimum 3 Months,B3,"52 Glasthule road, Glasthule, Co. Dublin",11.66679837,53.2870155,-6.121901,,https://www.daft.ie/for-rent/apartment-52-glasthule-road-glasthule-co-dublin/5315396,2023-07-06,36072378dbeed83b9e21e5a5333e2e459c9f093bb6e2c63490e0b5e82bb8b4b4
36,216897162,2023-07-06,887,Apartment,1534.0,1,1," Jul 10th, 2023", Yes, Minimum 1 Year,D2,"31 Block A, The Maltings, Dublin 8",1.138336986,53.345446,-6.284347,Dublin 8,https://www.daft.ie/for-rent/apartment-31-block-a-the-maltings-dublin-8/5331115,2023-07-06,5498a5ba0640160f9e96e7804c2e1ab651da7f03d198de7bdf672b3a95e65748
37,25318753,2023-07-05,1206,Apartment,3375.0,2,2, Immediately, Yes, Minimum 1 Year,B3,"45 Hanover Riverside, Dublin 2",1.957109895,53.3455577,-6.2378696,Dublin 2,https://www.daft.ie/for-rent/apartment-45-hanover-riverside-dublin-2/5318753,2023-07-06,a6f834a37258ceedaac485350e51f1763323638811672fc03460d700118c1ac2
38,25317113,2023-07-01,1457,House,2800.0,2,2, Immediately, Yes, Minimum 1 Year,BER Exempt,"5 St Josephs Parade off Dorset , Dublin 7",1.317626483,53.3572274,-6.2654829,Dublin 7,https://www.daft.ie/for-rent/house-5-st-josephs-parade-off-dorset-dublin-7/5317113,2023-07-06,5c5365ad6eeda874dc8477d157a244d6f384099a602902cc007fe38d75b6ebbc
39,25301550,2023-06-29,4137,Apartment,2300.0,1,1," Jul 1st, 2023", Yes, Minimum 1 Year,C1,"Apartment 29, The Bay, Elm Park,  Merrion Road, Dublin 4, Booterstown, Co. Dublin",5.397536496,53.313204,-6.206721,,https://www.daft.ie/for-rent/apartment-apartment-29-the-bay-elm-park-merrion-road-dublin-4-booterstown-co-dublin/5301550,2023-07-06,7812b7145a3e6fb96b4b26c85f1e650bd62bdc32070629aba6530ff9bdbc98d7
40,216703686,2023-07-06,1649,House,2500.0,2,1, Immediately, Yes, Minimum 1 Year,C2,"40 Merrion Strand, Sandymount, Dublin 4",4.849835068,53.320756,-6.207256,Dublin 4,https://www.daft.ie/for-rent/house-40-merrion-strand-sandymount-dublin-4/5310882,2023-07-06,1654ebc5fa366a273a31ee12ade107390887044b89c4c8f761a571394637c4a9
41,25322368,2023-06-29,1112,Apartment,2500.0,1,1," Jul 7th, 2023", Yes, No Minimum,B2,"Cowper Hall, Mount St Anne's - Short Term Only, Milltown, Dublin 6",3.740170689,53.31340339,-6.250273892,Dublin 6,https://www.daft.ie/for-rent/apartment-cowper-hall-mount-st-annes-short-term-only-milltown-dublin-6/5322368,2023-07-06,78034298880933ca0f4ce5350fba9b9a238396499b7930eb01dacc4e4f225fb6
42,216808479,2023-07-06,1982,Apartment,2500.0,2,2, Immediately, Yes, Minimum 1 Year,C3,"Metropolitan Apartments, Inchicore Road, Dublin 8",3.114201172,53.34191,-6.31364,Dublin 8,https://www.daft.ie/for-rent/apartment-metropolitan-apartments-inchicore-road-dublin-8/5321836,2023-07-06,6b4955b61cd086eb9079ff2a77be5225633a514a7dce290fb5836b9328b75c3a
